nodenumber,x,y,p,pressure-coefficient,dynamic-pressure,absolute-pressure,total-pressure,velocity-magnitude,u,v
        98, 1.440000000E+01,-5.000000000E+00, 1.146448012E-02, 8.318897136E-05, 1.388520356E+02, 1.013250115E+05, 1.388635000E+02, 1.505646827E+01, 1.505646827E+01, 0.000000000E+00
        99, 1.460000000E+01,-5.000000000E+00, 7.521833315E-03, 5.458019639E-05, 1.388558358E+02, 1.013250075E+05, 1.388633577E+02, 1.505667379E+01, 1.505667379E+01, 0.000000000E+00
       100, 1.480000000E+01,-5.000000000E+00, 3.680469249E-03, 2.670635283E-05, 1.388594696E+02, 1.013250037E+05, 1.388631500E+02, 1.505686517E+01, 1.505686517E+01, 0.000000000E+00
       101, 1.500000000E+01,-5.000000000E+00, 9.368677789E-04, 1.125650784E-05, 1.388623976E+02, 1.013250009E+05, 1.388639489E+02, 1.505695322E+01, 1.505695322E+01, 0.000000000E+00
       102,-4.869891308E+00,-4.870029838E+00, 1.051469333E+00, 7.629709447E-03, 1.378119124E+02, 1.013260515E+05, 1.388633817E+02, 1.499996802E+01, 1.499996802E+01, 4.171213807E-05
       103, 1.486907210E+01,-4.868598829E+00, 2.484842496E-03, 1.803060314E-05, 1.388611143E+02, 1.013250025E+05, 1.388635991E+02, 1.505695930E+01, 1.505695930E+01,-1.433091319E-04
       104,-4.709481631E+00,-4.840293833E+00, 1.052588170E+00, 7.637827992E-03, 1.378105539E+02, 1.013260526E+05, 1.388631421E+02, 1.499989409E+01, 1.499989409E+01, 1.017006817E-04
       105, 1.470713257E+01,-4.837034230E+00, 5.444902381E-03, 3.950949573E-05, 1.388577315E+02, 1.013250054E+05, 1.388631764E+02, 1.505677590E+01, 1.505677589E+01,-1.747287613E-04
       106, 4.500023062E+00,-4.826958816E+00, 6.756925415E-01, 4.902984428E-03, 1.381873889E+02, 1.013256757E+05, 1.388630814E+02, 1.502038824E+01, 1.502038816E+01,-1.473309205E-03
       107, 4.300024220E+00,-4.826957448E+00, 7.073086426E-01, 5.132398313E-03, 1.381557727E+02, 1.013257073E+05, 1.388630814E+02, 1.501866987E+01, 1.501866978E+01,-1.496164274E-03
       108, 4.700022001E+00,-4.826956712E+00, 6.446230533E-01, 4.677536894E-03, 1.382184585E+02, 1.013256446E+05, 1.388630815E+02, 1.502207672E+01, 1.502207663E+01,-1.444970041E-03
       109, 4.900021618E+00,-4.826955270E+00, 6.142089100E-01, 4.456844699E-03, 1.382488727E+02, 1.013256142E+05, 1.388630816E+02, 1.502372939E+01, 1.502372931E+01,-1.411915184E-03
       110, 1.699999217E+00,-4.826954585E+00, 1.093448773E+00, 7.934322163E-03, 1.377696359E+02, 1.013260934E+05, 1.388630847E+02, 1.499766707E+01, 1.499766702E+01,-1.052470035E-03
       111, 1.500001829E+00,-4.826954105E+00, 1.114894734E+00, 8.089939115E-03, 1.377481904E+02, 1.013261149E+05, 1.388630852E+02, 1.499649974E+01, 1.499649971E+01,-9.648055385E-04
       112,-2.500104803E+00,-4.826953182E+00, 1.145631565E+00, 8.312972807E-03, 1.377174576E+02, 1.013261456E+05, 1.388630892E+02, 1.499482673E+01, 1.499482672E+01, 5.457109679E-04
       113, 5.100021667E+00,-4.826951996E+00, 5.845420646E-01, 4.241575072E-03, 1.382785395E+02, 1.013255845E+05, 1.388630816E+02, 1.502534127E+01, 1.502534120E+01,-1.374945549E-03
       114, 1.100004353E+00,-4.826951293E+00, 1.151983407E+00, 8.359063270E-03, 1.377111026E+02, 1.013261520E+05, 1.388630860E+02, 1.499448076E+01, 1.499448073E+01,-7.788957205E-04
       115, 4.100024951E+00,-4.826951300E+00, 7.393453329E-01, 5.364864094E-03, 1.381237359E+02, 1.013257393E+05, 1.388630812E+02, 1.501692844E+01, 1.501692835E+01,-1.512740982E-03
       116, 1.300003938E+00,-4.826951112E+00, 1.134429685E+00, 8.231689327E-03, 1.377286559E+02, 1.013261344E+05, 1.388630856E+02, 1.499543636E+01, 1.499543633E+01,-8.732943109E-04
       117, 3.900025806E+00,-4.826951036E+00, 7.716593999E-01, 5.599342584E-03, 1.380914218E+02, 1.013257717E+05, 1.388630812E+02, 1.501517173E+01, 1.501517163E+01,-1.522164305E-03
       118,-2.700026699E+00,-4.826946332E+00, 1.133957482E+00, 8.228262911E-03, 1.377291317E+02, 1.013261340E+05, 1.388630892E+02, 1.499546226E+01, 1.499546225E+01, 5.474001098E-04
       119,-2.300134778E+00,-4.826945457E+00, 1.157159024E+00, 8.396618769E-03, 1.377059301E+02, 1.013261572E+05, 1.388630891E+02, 1.499419915E+01, 1.499419914E+01, 5.332137415E-04
       120, 1.899997502E+00,-4.826944566E+00, 1.070184135E+00, 7.765508465E-03, 1.377928999E+02, 1.013260702E+05, 1.388630841E+02, 1.499893328E+01, 1.499893323E+01,-1.135286325E-03
       121, 5.300021453E+00,-4.826941623E+00, 5.556982163E-01, 4.032277306E-03, 1.383073833E+02, 1.013255557E+05, 1.388630816E+02, 1.502690828E+01, 1.502690821E+01,-1.334845319E-03
       122, 2.099996332E+00,-4.826941358E+00, 1.045215940E+00, 7.584333350E-03, 1.378178676E+02, 1.013260452E+05, 1.388630835E+02, 1.500029210E+01, 1.500029204E+01,-1.212083858E-03
       123, 3.700024684E+00,-4.826941078E+00, 8.040918695E-01, 5.834680232E-03, 1.380589893E+02, 1.013258041E+05, 1.388630811E+02, 1.501340837E+01, 1.501340828E+01,-1.523839996E-03
       124, 9.000039638E-01,-4.826940889E+00, 1.167505653E+00, 8.471696351E-03, 1.376955807E+02, 1.013261675E+05, 1.388630864E+02, 1.499363569E+01, 1.499363567E+01,-6.825544914E-04
       125,-7.000306019E-01,-4.826939631E+00, 1.217454784E+00, 8.834139020E-03, 1.376456277E+02, 1.013262175E+05, 1.388630825E+02, 1.499091576E+01, 1.499091576E+01, 8.136931688E-05
       126,-5.000267038E-01,-4.826938869E+00, 1.218261882E+00, 8.839995518E-03, 1.376448338E+02, 1.013262183E+05, 1.388630957E+02, 1.499087253E+01, 1.499087253E+01,-9.789890270E-06
       127, 2.299996849E+00,-4.826938342E+00, 1.018681913E+00, 7.391796198E-03, 1.378444011E+02, 1.013260187E+05, 1.388630830E+02, 1.500173600E+01, 1.500173594E+01,-1.281889434E-03
       128, 5.500021857E+00,-4.826938404E+00, 5.277375168E-01, 3.829387877E-03, 1.383353440E+02, 1.013255277E+05, 1.388630816E+02, 1.502842715E+01, 1.502842708E+01,-1.292196630E-03
       129, 3.500022885E+00,-4.826938167E+00, 8.364683475E-01, 6.069611592E-03, 1.380266128E+02, 1.013258365E+05, 1.388630812E+02, 1.501164786E+01, 1.501164776E+01,-1.516981822E-03
       130,-9.000353352E-01,-4.826937223E+00, 1.214838612E+00, 8.815155460E-03, 1.376482455E+02, 1.013262148E+05, 1.388630841E+02, 1.499105832E+01, 1.499105831E+01, 1.660704463E-04
       131,-1.100044190E+00,-4.826935944E+00, 1.210496799E+00, 8.783650245E-03, 1.376525892E+02, 1.013262105E+05, 1.388630860E+02, 1.499129485E+01, 1.499129484E+01, 2.434361305E-04
       132, 3.300019478E+00,-4.826935074E+00, 8.686025287E-01, 6.302784789E-03, 1.379944787E+02, 1.013258686E+05, 1.388630813E+02, 1.500990032E+01, 1.500990023E+01,-1.501138803E-03
       133,-3.000221861E-01,-4.826934639E+00, 1.217097568E+00, 8.831546981E-03, 1.376459963E+02, 1.013262171E+05, 1.388630938E+02, 1.499093583E+01, 1.499093583E+01,-1.001429079E-04
